trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9753099120283326}",25,0,-132.18090286847334,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.05, 'e': 0.9512294245007139}",30,0,-149.87893642822445,"{0: 16, 1: 5, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.05, 'e': 0.9277434863285529}",20,0,-115.1709500138275,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.05, 'e': 0.9048374180359595}",25,0,-255.90550913035128,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 5}",0
5,False,"{'a': 0.05, 'e': 0.8824969025845953}",25,0,-203.2538742258132,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
6,False,"{'a': 0.05, 'e': 0.8607079764250578}",20,0,-47.687352046204595,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.05, 'e': 0.8394570207692074}",25,7,-97.4666017104885,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
8,False,"{'a': 0.05, 'e': 0.8187307530779818}",20,4,14.138223849020026,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.05, 'e': 0.798516218759377}",25,0,-151.00733567215744,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
10,False,"{'a': 0.05, 'e': 0.7788007830714049}",30,23,11.388765187508945,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.05, 'e': 0.7595721232249685}",25,0,-45.19459445178631,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.7408182206817179}",35,15,-112.66809282330802,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",1
13,False,"{'a': 0.05, 'e': 0.7225273536420722}",30,0,-185.4594804863082,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.05, 'e': 0.7046880897187134}",30,8,-17.073163513482594,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.05, 'e': 0.6872892787909722}",25,0,-43.12511460685114,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",1
16,False,"{'a': 0.05, 'e': 0.6703200460356393}",25,7,-29.44943339792963,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
17,False,"{'a': 0.05, 'e': 0.6537697851298473}",20,0,-111.7154317434834,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",1
18,False,"{'a': 0.05, 'e': 0.6376281516217732}",25,0,-151.8342104699219,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.05, 'e': 0.62188505646502}",20,0,-17.16095792545025,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.05, 'e': 0.6065306597126334}",25,0,-27.54578450806216,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
21,False,"{'a': 0.05, 'e': 0.5915553643668151}",25,0,-67.61429158868425,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.05, 'e': 0.5769498103804866}",20,0,-33.022301952116734,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
23,False,"{'a': 0.05, 'e': 0.5627048688069557}",30,3,-84.85508071227397,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 2}",1
24,False,"{'a': 0.05, 'e': 0.5488116360940264}",20,4,10.268804752633455,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.05, 'e': 0.5352614285189903}",25,2,17.043000680420857,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.05, 'e': 0.522045776761016}",25,0,-63.148737859832615,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
27,False,"{'a': 0.05, 'e': 0.5091564206075491}",35,25,5.971498686264997,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.05, 'e': 0.49658530379140947}",20,0,-49.09954552109311,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.05, 'e': 0.4843245689553624}",30,12,-65.88589315735607,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
30,False,"{'a': 0.05, 'e': 0.4723665527410147}",20,0,-36.65639944322485,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.05, 'e': 0.4607037809989658}",25,0,-17.07860163673742,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
32,False,"{'a': 0.05, 'e': 0.44932896411722156}",20,0,-28.76772193592296,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
33,False,"{'a': 0.05, 'e': 0.4382349924649492}",20,0,-109.99611067799923,"{0: 13, 1: 4, 2: 0, 3: 1, 4: 2}",0
34,False,"{'a': 0.05, 'e': 0.4274149319487266}",25,0,-22.454636294024336,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
35,False,"{'a': 0.05, 'e': 0.4168620196785084}",25,11,-50.03899246822358,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
36,False,"{'a': 0.05, 'e': 0.40656965974059905}",25,0,-39.43466000416305,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.05, 'e': 0.3965314190749929}",20,4,-24.65363988309796,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
38,False,"{'a': 0.05, 'e': 0.3867410234545012}",20,0,-17.95903677099945,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.05, 'e': 0.3771923535631569}",20,1,12.952495491637416,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.05, 'e': 0.36787944117144233}",35,0,-81.83360095229818,"{0: 26, 1: 1, 2: 7, 3: 0, 4: 1}",0
41,False,"{'a': 0.05, 'e': 0.35879646540595156}",20,0,-2.425168284768591,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.05, 'e': 0.3499377491111553}",20,0,6.553300174735356,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.05, 'e': 0.3412977553009937}",25,2,15.728807813856005,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.05, 'e': 0.3328710836980795}",20,0,-21.92578033499702,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.05, 'e': 0.32465246735834974}",20,0,22.517904712846093,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.05, 'e': 0.31663676937905316}",25,0,-33.57977517813482,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
47,False,"{'a': 0.05, 'e': 0.3088189796880198}",25,13,-3.238796164489761,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.05, 'e': 0.301194211912202}",20,5,-47.11563882060655,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
49,False,"{'a': 0.05, 'e': 0.2937577003235328}",20,5,-29.03550209585041,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 0}",1
50,False,"{'a': 0.05, 'e': 0.2865047968601901}",25,16,-27.250260571142658,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.05, 'e': 0.2794309682214073}",20,0,4.193768487127002,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.05, 'e': 0.2725317930340126}",20,8,21.616062845499407,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.05, 'e': 0.26580295908892654}",25,5,11.506050270019163,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.05, 'e': 0.2592402606458915}",25,0,24.674130577790745,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.05, 'e': 0.25283959580474646}",25,12,9.28058839894911,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.05, 'e': 0.24659696394160643}",20,3,-25.619428369563582,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.05, 'e': 0.24050846320834215}",25,0,-20.971394970352392,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",1
58,False,"{'a': 0.05, 'e': 0.2345702880937976}",25,8,-40.18491977670511,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
59,False,"{'a': 0.05, 'e': 0.22877872704522242}",30,0,21.156872588653492,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
60,False,"{'a': 0.05, 'e': 0.22313016014842985}",25,8,-11.765495776520426,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.05, 'e': 0.21762105686523284}",30,16,-7.210807522972676,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
62,False,"{'a': 0.05, 'e': 0.21224797382674304}",30,11,-24.40119868688875,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
63,False,"{'a': 0.05, 'e': 0.20700755268115262}",20,11,17.569148855480993,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.05, 'e': 0.2018965179946554}",30,4,-20.5578590601648,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 1}",1
65,False,"{'a': 0.05, 'e': 0.19691167520419403}",25,0,-31.451405974004977,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.05, 'e': 0.19204990862075408}",30,12,-7.080709419031836,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.05, 'e': 0.18730817948195702}",30,9,-13.737331448477974,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 1}",1
68,False,"{'a': 0.05, 'e': 0.1826835240527346}",35,15,21.987599119812582,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.05, 'e': 0.1781730517728984}",25,17,15.680027073621694,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.05, 'e': 0.1737739434504451}",20,0,-8.065889778555086,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
71,False,"{'a': 0.05, 'e': 0.16948344949947006}",25,0,27.65317539653607,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.05, 'e': 0.16529888822158653}",25,14,22.36148131572181,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.05, 'e': 0.16121764412977674}",25,7,23.27368799104019,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.05, 'e': 0.1572371663136276}",25,0,23.017054904983667,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
75,False,"{'a': 0.05, 'e': 0.15335496684492847}",20,13,16.417375604876,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.05, 'e': 0.14956861922263504}",25,7,28.51607951787029,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.05, 'e': 0.14587575685622736}",30,19,16.720870366474788,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.05, 'e': 0.14227407158651353}",20,11,-8.722715763973504,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.05, 'e': 0.13876131224295524}",20,0,7.418404193510082,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
80,False,"{'a': 0.05, 'e': 0.1353352832366127}",20,11,-26.11184505540674,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.05, 'e': 0.13199384318783022}",20,9,19.9796533704272,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.05, 'e': 0.12873490358780418}",25,0,-11.919706173290617,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
83,False,"{'a': 0.05, 'e': 0.1255564274931972}",20,5,26.83004502641728,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.05, 'e': 0.12245642825298189}",20,8,15.427545619078531,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.05, 'e': 0.11943296826671962}",25,13,9.392285900018736,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.05, 'e': 0.11648415777349697}",25,5,31.97158279881677,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.05, 'e': 0.11360815367076371}",20,3,20.25780553065797,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.05, 'e': 0.11080315836233387}",20,0,20.487857830053674,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
89,False,"{'a': 0.05, 'e': 0.10806741863482927}",20,0,-54.89412193255392,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
90,False,"{'a': 0.05, 'e': 0.10539922456186433}",20,6,16.379013836251158,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.05, 'e': 0.1027969084352864}",20,2,-13.176784544448864,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.05, 'e': 0.1002588437228037}",30,15,27.262187345597113,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.05, 'e': 0.09778344405135005}",25,10,14.377986489003762,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.05, 'e': 0.09536916221554961}",20,0,-18.027136379650727,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
95,False,"{'a': 0.05, 'e': 0.09301448921066349}",20,14,10.611791300623992,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.05, 'e': 0.09071795328941248}",35,21,10.025894422193206,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.05, 'e': 0.08847811904208727}",30,7,-12.900076939253028,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
98,False,"{'a': 0.05, 'e': 0.0862935864993705}",25,14,18.991901287062902,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.05, 'e': 0.08416299025731036}",25,13,15.923940520881336,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.05, 'e': 0.0820849986238988}",20,6,27.3688670236805,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.05, 'e': 0.08005831278672051}",20,15,8.871883318777675,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.05, 'e': 0.07808166600115313}",30,23,15.767587824018054,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.05, 'e': 0.07615382279861033}",20,11,18.074846384063182,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.05, 'e': 0.07427357821433388}",20,7,23.871762869431496,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
